complaint_id,complaint_timestamp,response_timestamp,resolve_timestamp,ticket_status,customer_status,source,brand,purchase_channel,outlet,complaint_type,issue_detail,responsible_area
CMP-0031,2025-05-10 11:22:00,2025-05-10 11:41:00,2025-05-10 12:30:00,SOLVED,Refund,Whatsapp,Dari Pada,Platform,Bintaro,Order tidak lengkap,Side dish tidak ada,Checker
CMP-0032,2025-04-27 10:11:00,2025-04-27 10:13:00,2025-04-27 10:33:00,SOLVED,Forgiven,Feedback,Dari Pada,Take Away,Tebet,Rasa tidak sesuai,Keasinan,QC
CMP-0033,2025-06-25 13:54:00,2025-06-25 13:58:00,2025-06-25 16:35:00,SOLVED,Forgiven,Whatsapp,Dari Pada,App,Bintaro,Order tidak lengkap,Item kurang,Checker
CMP-0034,2025-06-22 10:41:00,2025-06-22 10:47:00,2025-06-22 11:34:00,SOLVED,Misunderstanding clarified,Social Media,Bude Sari,Phone,Pamulang,Porsi tidak sesuai,Ukuran tidak sesuai,AM
CMP-0035,2025-05-10 16:40:00,2025-05-10 16:49:00,2025-05-10 19:21:00,SOLVED,Misunderstanding clarified,App,Bude Sari,Platform,Bintaro,Packaging issue,Kemasan bocor,AM
CMP-0036,2025-03-01 17:29:00,2025-03-01 17:34:00,2025-03-01 18:28:00,SOLVED,Misunderstanding clarified,App,Bude Sari,Platform,Kemang,Tech issue,App error,Tech Team
CMP-0037,2025-03-28 15:47:00,2025-03-28 15:53:00,2025-03-28 16:37:00,SOLVED,Replacement sent,Social Media,Ayam Koplo,Take Away,Kemang,Rasa tidak sesuai,Terlalu manis,QC
CMP-0038,2025-06-19 13:52:00,2025-06-19 13:56:00,,HANDLING,In progress,Feedback,Ayam Koplo,Take Away,Pamulang,Tekstur tidak sesuai,Dingin/tidak fresh,Kitchen
CMP-0039,2025-01-13 21:29:00,2025-01-13 21:32:00,2025-01-13 22:21:00,EXPIRED,No response,Social Media,Bude Sari,Phone,Pluit,Waktu pengiriman terlalu lama,Order menunggu terlalu lama,Admin
CMP-0040,2025-03-03 14:08:00,2025-03-03 14:17:00,2025-03-03 15:22:00,SOLVED,Forgiven,Whatsapp,Dari Pada,App,BSD,Tech issue,Pembayaran gagal,AM
CMP-0041,2025-04-20 11:22:00,2025-04-20 11:31:00,2025-04-20 11:47:00,SOLVED,Replacement sent,App,Ayam Koplo,Take Away,Tebet,Porsi tidak sesuai,Ukuran tidak sesuai,AM
CMP-0042,2025-05-15 12:35:00,2025-05-15 12:38:00,2025-05-15 17:52:00,SOLVED,Misunderstanding clarified,Whatsapp,San Gyu,Phone,Cikini,Waktu pengiriman terlalu lama,Driver delay,Admin
CMP-0043,2025-06-15 16:36:00,2025-06-15 16:41:00,,HANDLING,In progress,App,San Gyu,Platform,Kemang,Waktu pengiriman terlalu lama,Order menunggu terlalu lama,QC
CMP-0044,2025-01-28 12:49:00,2025-01-28 12:57:00,,HANDLING,In progress,Feedback,Ayam Koplo,Platform,Tebet,Tekstur tidak sesuai,Kurang crispy,Admin
CMP-0045,2025-05-16 19:51:00,2025-05-16 19:59:00,2025-05-16 20:49:00,SOLVED,Replacement sent,Whatsapp,Moon Chicken,Take Away,Tebet,Waktu pengiriman terlalu lama,Order menunggu terlalu lama,Admin
CMP-0046,2025-03-22 20:00:00,2025-03-22 20:08:00,2025-03-22 21:02:00,SOLVED,Misunderstanding clarified,App,Bude Sari,Platform,Bintaro,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0047,2025-06-28 14:46:00,2025-06-28 15:18:00,,VALIDATING,Missing proof,App,San Gyu,Platform,BSD,Waktu pengiriman terlalu lama,Order menunggu terlalu lama,Admin
CMP-0048,2025-02-19 12:56:00,2025-02-19 13:19:00,2025-02-19 13:35:00,SOLVED,Replacement sent,Social Media,Ayam Koplo,Platform,Pamulang,Tech issue,Voucher error,Tech Team
CMP-0049,2025-04-11 09:55:00,2025-04-11 10:06:00,2025-04-11 10:51:00,SOLVED,Replacement sent,Feedback,Moon Chicken,Platform,Pluit,Porsi tidak sesuai,Porsi terlalu sedikit,Driver
CMP-0050,2025-02-18 12:09:00,2025-02-18 12:32:00,,HANDLING,In progress,Feedback,Moon Chicken,Take Away,Pamulang,Tech issue,Voucher error,QC
CMP-0051,2025-04-08 15:05:00,2025-04-08 15:08:00,2025-04-08 16:10:00,EXPIRED,No response,Whatsapp,Bude Sari,Phone,Tebet,Packaging issue,Kemasan rusak,AM
CMP-0052,2025-04-16 13:13:00,2025-04-16 13:15:00,2025-04-16 16:19:00,SOLVED,Replacement sent,Whatsapp,Moon Chicken,Phone,BSD,Waktu pengiriman terlalu lama,Order menunggu terlalu lama,Admin
CMP-0053,2025-06-26 14:24:00,2025-06-26 14:36:00,2025-06-26 16:41:00,EXPIRED,No response,Whatsapp,San Gyu,Platform,Kemang,Packaging issue,Kemasan rusak,AM
CMP-0054,2025-02-03 17:28:00,2025-02-03 17:34:00,2025-02-03 17:55:00,SOLVED,Refund,App,Moon Chicken,App,Pamulang,Tekstur tidak sesuai,Daging kering,Kitchen
CMP-0055,2025-03-05 15:57:00,2025-03-05 16:05:00,2025-03-05 17:03:00,SOLVED,Refund,Social Media,Moon Chicken,App,Cibubur,Rasa tidak sesuai,Keasinan,QC
CMP-0056,2025-03-17 14:00:00,2025-03-17 14:11:00,2025-03-17 14:43:00,SOLVED,Refund,Social Media,Dari Pada,Take Away,Pamulang,Packaging issue,Kemasan rusak,AM
CMP-0057,2025-03-06 13:11:00,2025-03-06 13:15:00,2025-03-06 13:26:00,SOLVED,Replacement sent,Whatsapp,Moon Chicken,Platform,Cibubur,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0058,2025-05-30 12:18:00,2025-05-30 12:39:00,2025-05-30 14:19:00,SOLVED,Misunderstanding clarified,Feedback,San Gyu,Take Away,Pluit,Rasa tidak sesuai,Kurang rasa,QC
CMP-0059,2025-03-07 09:39:00,2025-03-07 09:43:00,2025-03-07 09:46:00,SOLVED,Replacement sent,Feedback,Moon Chicken,Take Away,Cikini,Porsi tidak sesuai,Ukuran tidak sesuai,AM
CMP-0060,2025-04-12 20:19:00,2025-04-12 20:31:00,,VALIDATING,Missing proof,App,Dari Pada,Phone,Tebet,Tekstur tidak sesuai,Kurang crispy,Kitchen
CMP-0061,2025-04-02 16:04:00,2025-04-02 16:15:00,2025-04-02 16:42:00,SOLVED,Misunderstanding clarified,App,Moon Chicken,Phone,Cikini,Waktu pengiriman terlalu lama,Order menunggu terlalu lama,Admin
CMP-0062,2025-02-03 09:15:00,2025-02-03 09:42:00,2025-02-03 14:22:00,SOLVED,Refund,Feedback,Dari Pada,Platform,Pluit,Order tidak lengkap,Item kurang,Checker
CMP-0063,2025-04-09 17:22:00,2025-04-09 17:26:00,2025-04-09 18:54:00,SOLVED,Refund,Whatsapp,San Gyu,Phone,Pluit,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0064,2025-06-07 12:20:00,2025-06-07 12:26:00,2025-06-07 18:29:00,SOLVED,Misunderstanding clarified,Whatsapp,Ayam Koplo,Phone,Bintaro,Tech issue,App error,Tech Team
CMP-0065,2025-04-27 18:23:00,2025-04-27 18:29:00,2025-04-27 19:37:00,SOLVED,Forgiven,App,Bude Sari,Phone,Pamulang,Packaging issue,Kemasan rusak,AM
CMP-0066,2025-06-08 16:49:00,2025-06-08 16:52:00,2025-06-08 17:12:00,SOLVED,Replacement sent,Whatsapp,Bude Sari,Platform,BSD,Tekstur tidak sesuai,Keras,Kitchen
CMP-0067,2025-01-22 21:31:00,2025-01-22 21:50:00,2025-01-22 23:41:00,SOLVED,Refund,Whatsapp,Dari Pada,Phone,Tebet,Produk tidak sesuai dengan order,Varian salah,Checker
CMP-0068,2025-02-12 20:42:00,2025-02-12 20:46:00,2025-02-13 00:34:00,SOLVED,Forgiven,Social Media,Moon Chicken,App,Cikini,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0069,2025-06-07 17:38:00,2025-06-07 17:43:00,2025-06-07 20:11:00,EXPIRED,No response,Whatsapp,San Gyu,App,Cikini,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0070,2025-01-13 19:51:00,2025-01-13 20:03:00,2025-01-13 20:45:00,SOLVED,Misunderstanding clarified,Social Media,Bude Sari,Phone,Tebet,Produk tidak sesuai dengan order,Menu tertukar,Checker
CMP-0071,2025-02-15 19:30:00,2025-02-15 19:54:00,2025-02-15 20:10:00,SOLVED,Forgiven,Social Media,San Gyu,Take Away,Pamulang,Order tidak lengkap,Minuman tidak ada,Checker
CMP-0072,2025-01-13 11:15:00,2025-01-13 11:18:00,2025-01-13 11:43:00,SOLVED,Misunderstanding clarified,Whatsapp,Ayam Koplo,Platform,Kemang,Tech issue,Voucher error,Tech Team
CMP-0073,2025-04-04 19:38:00,2025-04-04 19:50:00,2025-04-04 21:22:00,EXPIRED,No response,Whatsapp,Ayam Koplo,App,Pluit,Tech issue,App error,Tech Team
CMP-0074,2025-05-24 14:58:00,2025-05-24 15:06:00,2025-05-24 15:45:00,EXPIRED,No response,App,Dari Pada,App,Cibubur,Tech issue,App error,Tech Team
CMP-0075,2025-06-18 12:21:00,2025-06-18 12:29:00,2025-06-18 14:44:00,SOLVED,Forgiven,Feedback,Bude Sari,App,Bintaro,Tekstur tidak sesuai,Daging kering,Kitchen
CMP-0076,2025-04-30 10:22:00,2025-04-30 10:25:00,2025-04-30 18:58:00,SOLVED,Misunderstanding clarified,Whatsapp,Ayam Koplo,Take Away,Bintaro,Tech issue,Voucher error,Tech Team
CMP-0077,2025-04-22 20:42:00,2025-04-22 20:55:00,2025-04-22 21:15:00,SOLVED,Forgiven,Whatsapp,San Gyu,Platform,Bintaro,Packaging issue,Label tidak sesuai,AM
CMP-0078,2025-05-01 18:03:00,2025-05-01 18:17:00,2025-05-01 19:42:00,SOLVED,Replacement sent,App,Moon Chicken,Take Away,BSD,Order tidak lengkap,Item kurang,Checker
CMP-0079,2025-06-09 11:45:00,2025-06-09 11:47:00,,VALIDATING,Missing proof,Whatsapp,Ayam Koplo,Platform,Kemang,Produk tidak sesuai dengan order,Menu tertukar,Tech Team
CMP-0080,2025-01-28 13:12:00,2025-01-28 13:23:00,2025-01-28 16:43:00,SOLVED,Refund,Whatsapp,Ayam Koplo,Platform,Tebet,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0081,2025-06-15 12:29:00,2025-06-15 12:32:00,,VALIDATING,Missing proof,Feedback,San Gyu,Take Away,Cikini,Packaging issue,Label tidak sesuai,AM
CMP-0082,2025-03-15 19:33:00,2025-03-15 19:37:00,2025-03-15 22:15:00,EXPIRED,No response,Feedback,Bude Sari,Platform,Kemang,Order tidak lengkap,Minuman tidak ada,Checker
CMP-0083,2025-02-13 16:26:00,2025-02-13 16:33:00,2025-02-13 16:54:00,SOLVED,Misunderstanding clarified,Social Media,Dari Pada,Platform,Bintaro,Order tidak lengkap,Minuman tidak ada,Admin
CMP-0084,2025-02-24 20:56:00,2025-02-24 20:58:00,2025-02-24 22:17:00,SOLVED,Replacement sent,Whatsapp,Bude Sari,Platform,Pluit,Porsi tidak sesuai,Ukuran tidak sesuai,Checker
CMP-0085,2025-04-19 20:01:00,2025-04-19 20:07:00,2025-04-19 20:18:00,SOLVED,Replacement sent,Social Media,San Gyu,Take Away,Bintaro,Order tidak lengkap,Side dish tidak ada,Checker
CMP-0086,2025-05-14 11:39:00,2025-05-14 11:44:00,2025-05-14 13:03:00,SOLVED,Refund,App,Dari Pada,Phone,Cikini,Tech issue,Voucher error,Tech Team
CMP-0087,2025-03-19 21:52:00,2025-03-19 21:56:00,,VALIDATING,Missing proof,Social Media,Ayam Koplo,Take Away,Bintaro,Tekstur tidak sesuai,Keras,Kitchen
CMP-0088,2025-02-08 11:31:00,2025-02-08 11:38:00,2025-02-08 14:45:00,SOLVED,Misunderstanding clarified,Social Media,San Gyu,App,BSD,Packaging issue,Kemasan rusak,AM
CMP-0089,2025-03-07 19:18:00,2025-03-07 19:46:00,2025-03-08 03:42:00,SOLVED,Refund,Feedback,Moon Chicken,Phone,Bintaro,Waktu pengiriman terlalu lama,Driver delay,Admin
CMP-0090,2025-04-27 16:22:00,2025-04-27 16:48:00,2025-04-27 17:58:00,SOLVED,Forgiven,Feedback,San Gyu,App,Tebet,Produk tidak sesuai dengan order,Menu tertukar,Checker
CMP-0091,2025-04-15 17:50:00,2025-04-15 17:55:00,2025-04-15 21:22:00,EXPIRED,No response,Feedback,San Gyu,Phone,Kemang,Tekstur tidak sesuai,Dingin/tidak fresh,Kitchen
CMP-0092,2025-05-12 09:16:00,2025-05-12 09:18:00,2025-05-12 09:52:00,SOLVED,Misunderstanding clarified,Feedback,Dari Pada,Phone,Cikini,Produk tidak sesuai dengan order,Menu tertukar,Checker
CMP-0093,2025-04-08 15:49:00,2025-04-08 16:02:00,2025-04-08 17:13:00,SOLVED,Forgiven,Feedback,Moon Chicken,Phone,Tebet,Order tidak lengkap,Minuman tidak ada,Tech Team
CMP-0094,2025-04-29 12:37:00,2025-04-29 12:52:00,2025-04-29 14:47:00,SOLVED,Forgiven,App,Ayam Koplo,Phone,Tebet,Tekstur tidak sesuai,Daging kering,Cashier
CMP-0095,2025-05-01 15:03:00,2025-05-01 15:15:00,2025-05-01 15:42:00,SOLVED,Forgiven,Social Media,San Gyu,Phone,BSD,Porsi tidak sesuai,Ukuran tidak sesuai,AM
CMP-0096,2025-01-22 20:15:00,2025-01-22 20:17:00,2025-01-22 21:34:00,SOLVED,Replacement sent,Feedback,Ayam Koplo,Platform,Pamulang,Produk tidak sesuai dengan order,Menu tertukar,Admin
CMP-0097,2025-03-06 19:22:00,2025-03-06 19:35:00,,HANDLING,In progress,App,Dari Pada,App,Pluit,Rasa tidak sesuai,Keasinan,QC
CMP-0098,2025-05-21 19:51:00,2025-05-21 20:04:00,2025-05-22 00:29:00,SOLVED,Refund,App,Ayam Koplo,Platform,Cibubur,Packaging issue,Kemasan bocor,AM
CMP-0099,2025-05-23 09:59:00,2025-05-23 10:07:00,2025-05-23 13:17:00,SOLVED,Misunderstanding clarified,Feedback,Bude Sari,App,Pluit,Tech issue,Pembayaran gagal,Tech Team
CMP-0100,2025-04-18 20:32:00,2025-04-18 20:44:00,,VALIDATING,Missing proof,Whatsapp,Ayam Koplo,Platform,Cikini,Rasa tidak sesuai,Basi,QC
CMP-0101,2025-02-06 09:34:00,2025-02-06 09:50:00,2025-02-06 10:41:00,EXPIRED,No response,Social Media,Bude Sari,Platform,Pluit,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0102,2025-03-29 16:12:00,2025-03-29 16:17:00,2025-03-29 19:09:00,SOLVED,Forgiven,Social Media,Dari Pada,Take Away,Kemang,Packaging issue,Kemasan bocor,AM
CMP-0103,2025-03-23 21:10:00,2025-03-23 21:18:00,2025-03-23 23:10:00,EXPIRED,No response,Whatsapp,Ayam Koplo,Phone,Tebet,Packaging issue,Label tidak sesuai,AM
CMP-0104,2025-06-07 11:30:00,2025-06-07 11:34:00,2025-06-07 19:22:00,SOLVED,Refund,Feedback,Ayam Koplo,App,Kemang,Rasa tidak sesuai,Terlalu manis,QC
CMP-0105,2025-03-08 14:09:00,2025-03-08 14:15:00,2025-03-08 18:58:00,SOLVED,Forgiven,Social Media,Bude Sari,Platform,Kemang,Tekstur tidak sesuai,Daging kering,Kitchen
CMP-0106,2025-01-04 20:36:00,2025-01-04 20:44:00,2025-01-04 21:24:00,SOLVED,Forgiven,Feedback,Dari Pada,Phone,Pluit,Waktu pengiriman terlalu lama,Driver delay,Admin
CMP-0107,2025-06-21 11:04:00,2025-06-21 11:06:00,2025-06-21 16:26:00,EXPIRED,No response,App,Ayam Koplo,Phone,Tebet,Rasa tidak sesuai,Keasinan,QC
CMP-0108,2025-05-23 21:06:00,2025-05-23 21:27:00,2025-05-23 21:34:00,EXPIRED,No response,Whatsapp,Bude Sari,Platform,Pamulang,Tech issue,App error,AM
CMP-0109,2025-06-05 10:01:00,2025-06-05 10:06:00,2025-06-05 11:44:00,SOLVED,Forgiven,Feedback,San Gyu,App,Cibubur,Produk tidak sesuai dengan order,Varian salah,Checker
CMP-0110,2025-05-26 14:41:00,2025-05-26 15:03:00,,HANDLING,In progress,Social Media,San Gyu,Platform,Kemang,Packaging issue,Kemasan rusak,AM
CMP-0111,2025-04-07 19:16:00,2025-04-07 19:20:00,,HANDLING,In progress,Whatsapp,Bude Sari,Take Away,Pamulang,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0112,2025-02-06 18:45:00,2025-02-06 18:53:00,2025-02-06 19:16:00,EXPIRED,No response,Social Media,San Gyu,Platform,Cibubur,Tekstur tidak sesuai,Dingin/tidak fresh,Kitchen
CMP-0113,2025-01-15 20:33:00,2025-01-15 20:48:00,2025-01-15 22:40:00,SOLVED,Misunderstanding clarified,Social Media,Bude Sari,Platform,Bintaro,Waktu pengiriman terlalu lama,Order menunggu terlalu lama,Admin
CMP-0114,2025-05-31 12:26:00,2025-05-31 12:39:00,2025-05-31 13:54:00,EXPIRED,No response,Whatsapp,Ayam Koplo,App,Bintaro,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0115,2025-05-07 15:23:00,2025-05-07 15:29:00,2025-05-07 15:54:00,SOLVED,Refund,Whatsapp,San Gyu,App,Cibubur,Rasa tidak sesuai,Basi,QC
CMP-0116,2025-02-24 13:27:00,2025-02-24 13:32:00,2025-02-24 15:53:00,SOLVED,Replacement sent,Feedback,Bude Sari,App,Tebet,Packaging issue,Label tidak sesuai,AM
CMP-0117,2025-01-31 21:03:00,2025-01-31 21:09:00,2025-01-31 21:31:00,SOLVED,Replacement sent,App,San Gyu,Platform,Cikini,Rasa tidak sesuai,Keasinan,QC
CMP-0118,2025-05-12 21:06:00,2025-05-12 21:17:00,2025-05-12 23:18:00,SOLVED,Misunderstanding clarified,App,Moon Chicken,Take Away,Tebet,Tech issue,Pembayaran gagal,Tech Team
CMP-0119,2025-02-01 15:23:00,2025-02-01 15:42:00,2025-02-01 15:42:00,SOLVED,Refund,Feedback,Bude Sari,App,Pluit,Tech issue,Pembayaran gagal,Tech Team
CMP-0120,2025-01-06 19:43:00,2025-01-06 19:50:00,2025-01-06 20:19:00,SOLVED,Forgiven,Social Media,Bude Sari,App,Cikini,Rasa tidak sesuai,Kurang rasa,QC
CMP-0121,2025-02-08 13:32:00,2025-02-08 13:33:00,2025-02-08 14:26:00,SOLVED,Misunderstanding clarified,App,Bude Sari,Platform,Bintaro,Waktu pengiriman terlalu lama,Order menunggu terlalu lama,Checker
CMP-0122,2025-02-09 17:45:00,2025-02-09 17:50:00,,HANDLING,In progress,Social Media,Ayam Koplo,Platform,Cibubur,Order tidak lengkap,Item kurang,Admin
CMP-0123,2025-02-06 19:55:00,2025-02-06 20:03:00,2025-02-06 20:18:00,SOLVED,Refund,App,Bude Sari,Phone,Cikini,Order tidak lengkap,Item kurang,QC
CMP-0124,2025-02-14 12:21:00,2025-02-14 12:24:00,2025-02-14 19:05:00,SOLVED,Refund,Social Media,Moon Chicken,App,Cibubur,Rasa tidak sesuai,Keasinan,QC
CMP-0125,2025-05-14 15:57:00,2025-05-14 16:05:00,2025-05-14 20:04:00,EXPIRED,No response,Social Media,Dari Pada,Take Away,Cikini,Order tidak lengkap,Side dish tidak ada,Checker
CMP-0126,2025-05-25 15:15:00,2025-05-25 15:23:00,2025-05-25 16:30:00,SOLVED,Misunderstanding clarified,Whatsapp,Ayam Koplo,Take Away,Cikini,Order tidak lengkap,Minuman tidak ada,Kitchen
CMP-0127,2025-03-16 10:50:00,2025-03-16 10:55:00,2025-03-16 12:21:00,SOLVED,Replacement sent,App,Bude Sari,Platform,Kemang,Tech issue,App error,Tech Team
CMP-0128,2025-06-28 21:36:00,2025-06-28 21:46:00,2025-06-29 06:49:00,SOLVED,Replacement sent,Feedback,San Gyu,App,Kemang,Porsi tidak sesuai,Ukuran tidak sesuai,AM
CMP-0129,2025-05-09 21:59:00,2025-05-09 22:21:00,2025-05-09 22:41:00,SOLVED,Forgiven,Whatsapp,Moon Chicken,Phone,Tebet,Packaging issue,Label tidak sesuai,AM
CMP-0130,2025-01-05 19:50:00,2025-01-05 20:03:00,2025-01-05 20:30:00,SOLVED,Misunderstanding clarified,Feedback,Bude Sari,Platform,Kemang,Waktu pengiriman terlalu lama,Order menunggu terlalu lama,Kitchen
CMP-0131,2025-03-25 17:49:00,2025-03-25 17:54:00,2025-03-25 18:11:00,SOLVED,Replacement sent,Feedback,San Gyu,Platform,Bintaro,Tekstur tidak sesuai,Dingin/tidak fresh,Kitchen
CMP-0132,2025-04-12 16:44:00,2025-04-12 17:02:00,2025-04-12 20:45:00,SOLVED,Replacement sent,Social Media,Moon Chicken,Take Away,Kemang,Order tidak lengkap,Minuman tidak ada,Checker
CMP-0133,2025-04-30 19:04:00,2025-04-30 19:30:00,2025-04-30 19:30:00,EXPIRED,No response,App,Bude Sari,Take Away,Tebet,Tekstur tidak sesuai,Kurang crispy,QC
CMP-0134,2025-06-16 15:35:00,2025-06-16 15:45:00,2025-06-16 16:25:00,SOLVED,Forgiven,Feedback,Dari Pada,Take Away,Cikini,Porsi tidak sesuai,Ukuran tidak sesuai,AM
CMP-0135,2025-04-01 11:46:00,2025-04-01 11:48:00,2025-04-01 15:11:00,SOLVED,Forgiven,Feedback,San Gyu,Take Away,Cikini,Porsi tidak sesuai,Ukuran tidak sesuai,AM
CMP-0136,2025-01-28 17:53:00,2025-01-28 17:57:00,2025-01-28 19:26:00,EXPIRED,No response,Social Media,Ayam Koplo,Take Away,BSD,Porsi tidak sesuai,Porsi terlalu sedikit,AM
